TestNo,GroupName,ChannelName,Description,Inst_InsCom,Inst_Axis,Unit,Inst_SenAtt
11146,v11146_Veh1,10FORALERE00AC1P,"v11146_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0265s, max@0.0306s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
11149,v11149_Veh1,10SEATLERE00AC1P,"v11149_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.04945s, max@0.04655s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
11264,v11264_Veh1,10DOORLERE00AC1P,"v11264_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0466s, max@0.0422s",LEFT REAR SILL AX,XG,gn,DSLR
11268,v11268_Veh1,10FORALERE00AC1P,"v11268_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0205s, max@0.0207s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
11270,v11270_Veh1,10FORALERE00AC1P,"v11270_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0422s, max@0.021s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
11288,v11288_Veh1,10DOORLERE00AC1P,"v11288_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0288s, max@0.0318s",LEFT REAR SILL AX,XG,gn,DSLR
11291,v11291_Veh1,10FORALERE00AC1P,"v11291_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0698s, max@0.0963s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
11295,v11295_Veh1,10DOORLERE00AC1P,"v11295_093af0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.052s, max@0.0207s","LEFT REAR SILL AX, CF AT 84.4 MS.",XG,gn,DSLR
11296,v11296_Veh1,10FORALERE00AC1P,"v11296_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0377s, max@0.0379s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
11298,v11298_Veh1,10SEATLERE00AC1P,"v11298_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0477s, max@0.04665s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
11299,v11299_Veh1,10SEATLERE00AC1P,"v11299_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0484s, max@0.0365s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
11347,v11347_Veh1,10SEATLERE00AC1P,"v11347_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.02305s, max@0.0204s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
11350,v11350_Veh1,10SEATLERE00AC1P,"v11350_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=2000; min@0.0524s, max@0.05456s",CROSSMEMBER LEFT REAR X,XG,gn,SELR
11356,v11356_Veh1,10FORALERE00AC1P,"v11356_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0498s, max@0.0451s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
11377,v11377_Veh1,10DOORLERE00AC1P,"v11377_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.013s, max@0.0529s",LEFT REAR SILL AX,XG,gn,DSLR
11378,v11378_Veh1,10SEATLERE00AC1P,"v11378_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=2000; min@0.0692s, max@0.06864s",CROSSMEMBER LEFT REAR X,XG,gn,SELR
11380,v11380_Veh1,10FORALERE00AC1P,"v11380_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0589s, max@0.0462s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
11383,v11383_Veh1,10DOORLERE00AC1P,"v11383_093af0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@-0.05s, max@-0.05s","LEFT REAR SILL AX, CHANNEL FAILED, NO DATA",XG,gn,DSLR
11391,v11391_Veh1,10SEATLERE00AC1P,"v11391_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0223s, max@0.0339s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
11394,v11394_Veh1,10FORALERE00AC1P,"v11394_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0409s, max@0.0319s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
11396,v11396_Veh1,10DOORLERE00AC1P,"v11396_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0495s, max@0.0182s",LEFT REAR SILL AX,XG,gn,DSLR
11399,v11399_Veh1,10FORALERE00AC1P,"v11399_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0131s, max@0.0121s",LEFT REAR SEAT CROSSMEMBER X - Low level cyclical noise observed throughout the data,XG,gn,FLLR
11485,v11485_Veh1,10FORALERE00AC1P,"v11485_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0588s, max@0.0591s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
11490,v11490_Veh1,10FORALERE00AC1P,"v11490_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0161s, max@0.0164s",LEFT REAR SEAT CROSSMEMBER X - Low level cyclical noise observed throughout the data,XG,gn,FLLR
11491,v11491_Veh1,10SEATLERE00AC1P,"v11491_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0723s, max@0.02565s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,SELR
11496,v11496_Veh1,10SEATLERE00AC1P,"v11496_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0605s, max@0.0275s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,SELR
11571,v11571_Veh1,10DOORLERE00AC1P,"v11571_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0531s, max@0.0519s","LEFT REAR SILL AX, CHANNEL FAILED, NO DATA",XG,gn,DSLR
11572,v11572_Veh1,10FORALERE00AC1P,"v11572_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.018s, max@0.0186s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
11574,v11574_Veh1,10FORALERE00AC1P,"v11574_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0207s, max@0.0299s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
11575,v11575_Veh1,10FORALERE00AC1P,"v11575_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0401s, max@0.0275s",LEFT REAR SEAT CROSSMEMBER X - Low level cyclical noise observed throughout the data,XG,gn,FLLR
11583,v11583_Veh1,10FORALERE00AC1P,"v11583_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.038s, max@0.0633s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
11584,v11584_Veh1,10SEATLERE00AC1P,"v11584_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.03865s, max@0.0155s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,SELR
