test_id,left_channel,right_channel,body_source,engine_channel,engine_status,engine_duration_ms,whel_channel,energy_ratio,calc_crush_mm,calc_peak_g,status
7520,10FORALERERDAC1P,10FORARIRERDAC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.004,683.3,45.11,Valid
7521,10DOORLERERDAC1P,10DOORRIRERDAC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.002,654.1,44.98,Valid
7525,10SEATLERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,350.0,10WHELLE0000AC1P,1.024,712.9,43.76,Valid
7526,10FORALERERDAC1P,10FORARIRERDAC1P,FORA_Rear,10ENGN000000AC1P,Short (79.0ms),79.0,10WHELLE0000AC1P,1.005,641.7,52.25,Valid
7527,10FORALERERDAC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.001,678.9,39.46,Valid
7531,10DOORLERERDAC1P,10DOORRIRERDAC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.024,621.6,41.12,Valid
7536,10FORALERERDAC1P,10FORARIRERDAC1P,FORA_Rear,10ENGN000000AC1P,Short (57.0ms),57.0,10WHELLE0000AC1P,1.003,667.4,47.9,Valid
7564,10FORALERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.003,579.4,43.06,Valid
7566,10SEATLERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,350.0,10WHELLE0000AC1P,1.003,722.8,42.12,Valid
7567,10SEATLERERDAC1P,10SEATRIRERDAC1P,SEAT_Rear,10ENGN000000AC1P,Valid,350.0,10WHELLE0000AC1P,1.019,628.2,50.89,Valid
7569,10DOORLERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.003,744.4,38.22,Valid
7573,10SEATLERERDAC1P,10SEATRIRERDAC1P,SEAT_Rear,10ENGN000000AC1P,Valid,350.0,10WHELLE0000AC1P,1.005,661.2,38.93,Valid
7574,10FORARIRERDAC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.004,980.1,42.47,Outlier
